text,dominant_distortion,secondary_distortion
I stumbled during the interview; now the whole opportunity is wasted.,All-or-Nothing Thinking,
My parents are fighting; it's because I'm a difficult child.,Personalization,
"He frowned, so he thinks I'm stupid and I've failed.",Jumping to Conclusions,All-or-Nothing Thinking
"The dinner was tasty, but the service was slow, so I hated it, and I chose the wrong restaurant.",Mental Filter,Personalization
"I was late; I've destroyed my reputation, and being early every other day doesn't count.",Magnification or Minimization,Disqualifying the Positive
He looks tired; I exhausted him.,Personalization,
"She yawned, so I'm annoying her, and I should stop talking.",Jumping to Conclusions,Should Statements
"I feel hopeless, so the situation is hopeless.",Emotional Reasoning,
"I gained a pound; I'm obese, and I should diet.",Magnification or Minimization,Should Statements
"I feel ugly, so I am hideous, and nobody will ever look at me.",Emotional Reasoning,All-or-Nothing Thinking
"I must please everyone, because I feel so guilty saying no.",Should Statements,Emotional Reasoning
"I missed one workout, so I'm a slob, and I'm a lazy pig.",All-or-Nothing Thinking,Labeling
"All men are liars, and my dad doesn't count because he's family.",Overgeneralization,Disqualifying the Positive
I feel skeptical about this 'miracle cure' diet everyone is talking about.,No Distortion,
I feel isolated working from home without any colleagues nearby.,No Distortion,
"I passed the test, but I missed one question, so I'm dumb.",Mental Filter,
I feel isolated living in a new city where I don't know the language.,No Distortion,
"He loves me, but he doesn't know the real me, because I feel so unlovable underneath.",Disqualifying the Positive,Emotional Reasoning
"It rained on my wedding; I jinxed it, and the day is a total disaster.",Personalization,Magnification or Minimization
"I am an idiot, and knowing the answer was just a guess.",Labeling,Disqualifying the Positive
"The party was fun, but I felt awkward, so the night was ruined, and I brought the mood down.",Mental Filter,Personalization
I am weak.,Labeling,
"I feel hopeless, so I am doomed.",Emotional Reasoning,
"I feel angry, so you are evil.",Emotional Reasoning,
I feel isolated since my best friend moved across the country.,No Distortion,
"I got a raise, but inflation is high, so it doesn't matter.",Mental Filter,
"All men are liars, and he should have told me the truth.",Overgeneralization,Should Statements
"Unless everyone approves of my choice, it was the wrong decision.",All-or-Nothing Thinking,
I am drained from dealing with bureaucratic paperwork all day.,No Distortion,
The train is late; I jinxed it by arriving early.,Personalization,
"She said I'm talented, but she's just being nice.",Disqualifying the Positive,
"I have a headache; it's a tumor, and the doctor saying I'm healthy doesn't know what he's talking about.",Jumping to Conclusions,Disqualifying the Positive
The store is closed; I caused this.,Personalization,
"I cooked dinner, but used a mix, so I can't cook, and I should cook from scratch.",Disqualifying the Positive,Should Statements
I am a mistake.,Labeling,
"They hired him, so I never get picked, and I'm a reject.",Overgeneralization,Labeling
I stumbled; I'm completely uncoordinated.,Magnification or Minimization,
"She's crying; I hurt her, and I shouldn't be so mean.",Personalization,Should Statements
"I stumbled, so I'm always clumsy, and walking perfectly for miles doesn't count if I trip once.",Overgeneralization,Disqualifying the Positive
"I feel apprehensive about the surgery, even though the doctor said it's routine.",No Distortion,
"I am a fraud, and my deception is massive.",Labeling,Magnification or Minimization
"I feel stupid, so I am an idiot, and I can't do anything right.",Emotional Reasoning,Labeling
It rained on the parade; I brought the bad weather.,Personalization,
All mechanics are thieves.,Overgeneralization,
"The project has a flaw, so the whole thing is worthless garbage.",All-or-Nothing Thinking,
"My performance was trash because I missed a cue, and I've ruined the entire show.",All-or-Nothing Thinking,Magnification or Minimization
I'm worried about my mom's health test results coming back today.,No Distortion,
"She said I'm kind, but she wants something from me.",Disqualifying the Positive,
"I feel bored, so life is dull, and I'm boring.",Emotional Reasoning,Labeling
I feel a pain in my side; it's definitely cancer.,Jumping to Conclusions,
"I lost $5; I'm going bankrupt, and I'm a failure.",Magnification or Minimization,Labeling
I have a cold sore; I look like a leper.,Magnification or Minimization,
My wife is sad; I made her unhappy.,Personalization,
"He didn't say hi; everyone hates me, so I have zero friends.",Overgeneralization,All-or-Nothing Thinking
I lost five minutes; my schedule is destroyed.,Magnification or Minimization,
I should not have made that mistake.,Should Statements,
"Unless everyone likes me, I'm worthless, and this one rejection proves I'm a social pariah.",All-or-Nothing Thinking,Magnification or Minimization
It's aggravating when the printer jams right before a deadline.,No Distortion,
"We had a nice dinner, but the waiter was slow, so it was awful.",Mental Filter,
I feel disappointed that the weather ruined our hiking plans.,No Distortion,
I am a toxic person.,Labeling,
"I won the game, but it was just luck, because I don't feel like a winner.",Disqualifying the Positive,Emotional Reasoning
"I look okay, but my teeth are crooked, so I'm ugly.",Mental Filter,
"People should be on time, but they aren't, and everyone is always disrespectful to me.",Should Statements,Overgeneralization
The wait for the bus is pure torture.,Magnification or Minimization,
I missed one day of practice; the recital will be a disaster.,All-or-Nothing Thinking,
"The party was great, but the music was too loud, so it was terrible.",Mental Filter,
"I'm either smart or I'm stupid, and clearly I am stupid.",All-or-Nothing Thinking,Labeling
"The dinner was tasty, but the service was slow, so I hated it, and the good food doesn't excuse the wait.",Mental Filter,Disqualifying the Positive
"The world should be fair, but it's not, and I can only see the injustice.",Should Statements,Mental Filter
I missed a note in the song; the recital was a disaster.,All-or-Nothing Thinking,
"I gained a pound; I'm obese, because I feel so fat and heavy.",Magnification or Minimization,Emotional Reasoning
I am worried that the weather might delay our flight tomorrow.,No Distortion,
It’s just a PhD; it doesn't mean I'm smart.,Magnification or Minimization,
"I didn't clean the garage, so the weekend was wasted.",All-or-Nothing Thinking,
"I got a raise, but taxes took some, so it's nothing, and I'll still be broke by the end of the month.",Mental Filter,Jumping to Conclusions
I asked one person out and got rejected; nobody will ever want to date me.,Overgeneralization,
"I should have known better, so I am a complete idiot.",Should Statements,All-or-Nothing Thinking
This scratch on my car is a disaster.,Magnification or Minimization,
"I'm either a genius or an idiot, and this mistake proves I'm braindead.",All-or-Nothing Thinking,Magnification or Minimization
"I didn't finish the list, so I'm lazy, and I must be more productive.",All-or-Nothing Thinking,Should Statements
"My son failed; it's my fault, and I'm focused only on my parenting.",Personalization,Mental Filter
"I must never mess up, and this mistake ruins everything, so I should quit.",Should Statements,All-or-Nothing Thinking
"He hasn't called, so he hates me, and the fact that he texted earlier doesn't count.",Jumping to Conclusions,Disqualifying the Positive
"The feedback was good, but they noted a typo, so I failed, and I'm illiterate.",Mental Filter,Labeling
"I lost my wallet, so I lose everything I own, and I'm totally irresponsible.",Overgeneralization,Labeling
"I feel angry, so you are unfair, and I'm focusing only on my rage.",Emotional Reasoning,Mental Filter
"I know I'll freeze on stage, and I'll ruin the performance for the cast.",Jumping to Conclusions,Personalization
"She yawned, so she is bored and I am a boring person.",Jumping to Conclusions,All-or-Nothing Thinking
I should be taller.,Should Statements,
"I should handle this alone, and asking for help is weak, so I must suffer in silence.",Should Statements,Labeling
"I'm either a genius or an idiot, and I ought to know the answer.",All-or-Nothing Thinking,Should Statements
Life should be fair.,Should Statements,
I am a loser.,Labeling,
"The party was fun, but I spilled a drink, so the whole night was a total disaster.",Mental Filter,All-or-Nothing Thinking
"I am an idiot, so I can't learn anything.",Labeling,All-or-Nothing Thinking
I am a loser.,Labeling,
"I made a typo; I'm unprofessional, because I feel so humiliated.",Magnification or Minimization,Emotional Reasoning
I am a bad wife.,Labeling,
"He frowned, so he's angry, and I'm ignoring that he's reading bad news.",Jumping to Conclusions,Mental Filter
"I look strong, but it's just the shirt fit.",Disqualifying the Positive,
"I feel stupid, so I am an idiot, and my ignorance is colossal.",Emotional Reasoning,Magnification or Minimization
"If I don't get a perfect score on this test, I'm a total failure.",All-or-Nothing Thinking,
I should always be happy.,Should Statements,
"I passed the inspection, but they found dust, so I'm a slob.",Mental Filter,
"I cooked dinner, but used a mix, so I can't cook, and this meal is nothing special.",Disqualifying the Positive,Magnification or Minimization
"My husband is loving, but he snores, so I can't stand him.",Mental Filter,
"I finished the task, but it was easy, so I'm lazy for thinking it was work.",Disqualifying the Positive,Labeling
"The project failed; I take full responsibility, and it's a colossal failure.",Personalization,Magnification or Minimization
"I feel ugly, so I am hideous, and I look like a troll.",Emotional Reasoning,Magnification or Minimization
"I feel hopeless, so it's over, and the progress I made means nothing.",Emotional Reasoning,Disqualifying the Positive
I'm stressed trying to plan this wedding by myself.,No Distortion,
I forgot the time; I'm losing my mind.,Magnification or Minimization,
"If I suggest this, they will laugh.",Jumping to Conclusions,
He's checking his watch; he wants to leave.,Jumping to Conclusions,
"My speech was a catastrophe because I stuttered once, and I've blocked out the applause.",All-or-Nothing Thinking,Mental Filter
"I feel overwhelmed, so the task is impossible.",Emotional Reasoning,
"The date was horrible because he was five minutes late, even though the rest of the night was perfect.",All-or-Nothing Thinking,Mental Filter
"I feel unlovable, so I will be alone forever.",Emotional Reasoning,
I am a burden.,Labeling,
"The team lost; I played badly, and they're going to kick me off the team.",Personalization,Jumping to Conclusions
"I feel stupid, so I am an idiot, and I'm slowing the class down.",Emotional Reasoning,Personalization
"He brought me flowers, but he probably feels guilty.",Disqualifying the Positive,
"I got a raise, but taxes took some, so it's nothing, and the government shouldn't take so much.",Mental Filter,Should Statements
I am worried that I might not have enough savings for retirement.,No Distortion,
"You either support me or you're my enemy, and since you questioned me, you must be plotting against me.",All-or-Nothing Thinking,Jumping to Conclusions
"I should not be sad, because I feel weak when I cry.",Should Statements,Emotional Reasoning
"I must never mess up, and this mistake makes me a fool.",Should Statements,Labeling
"If I go, nobody will talk to me, because I'm a loser.",Jumping to Conclusions,Labeling
"I am a failure, and I've failed everyone who believed in me.",Labeling,Personalization
"I got a scholarship, but it doesn't cover books, so it's useless.",Mental Filter,
"If I don't get 100% on the exam, I'm a complete failure.",All-or-Nothing Thinking,
I am a pig.,Labeling,
"The project failed; I take full responsibility, and it's always my fault when things go wrong.",Personalization,Overgeneralization
"My boss seemed distant today, and I'm worried it means she's unhappy with my work.",No Distortion,
"I won the lottery, but it was just luck.",Disqualifying the Positive,
The project failed; I should have worked harder.,Personalization,
"I lost $5; I'm going bankrupt, and I'll end up on the streets.",Magnification or Minimization,Jumping to Conclusions
"My day was good, but I hit traffic, so it was a waste, and I've lost hours of my life.",Mental Filter,Magnification or Minimization
The food is burnt; I failed dinner.,Personalization,
"I am an idiot, so I'll definitely fail this class.",Labeling,Jumping to Conclusions
"They clapped, but they pitied me, and audiences are always fake.",Disqualifying the Positive,Overgeneralization
I have a wrinkle; I look ancient.,Magnification or Minimization,
"We had a nice walk, but it was humid, so it was miserable, and it shouldn't be this hot.",Mental Filter,Should Statements
The souffle fell; I failed as a chef.,Personalization,
"I finished the task, but it was easy, so it doesn't count, and the next task will be impossible.",Disqualifying the Positive,Jumping to Conclusions
"He frowned, so he's angry, because I feel tension in the room.",Jumping to Conclusions,Emotional Reasoning
"I feel overwhelmed, so it's impossible, and I should be able to handle this.",Emotional Reasoning,Should Statements
"I feel tired, so I can't do anything.",Emotional Reasoning,
"I didn't finish the marathon, so my training was a waste.",All-or-Nothing Thinking,
"They are laughing; it's about me, and my reputation is destroyed.",Jumping to Conclusions,Magnification or Minimization
"She said I'm pretty, but she's just being nice.",Disqualifying the Positive,
I ate a donut; my diet is completely ruined.,All-or-Nothing Thinking,
"It rained today, so it always rains on my days off, and I jinxed the picnic for everyone.",Overgeneralization,Personalization
I failed one interview; I am unhireable.,Overgeneralization,
My back hurts; it must be a slipped disc.,Jumping to Conclusions,
"My son failed; it's my fault, because I feel so guilty about his grades.",Personalization,Emotional Reasoning
I'm frazzled trying to balance my budget this month.,No Distortion,
"I am a fraud, because I feel like I'm faking it.",Labeling,Emotional Reasoning
"She said 'fine', which means 'bad'.",Jumping to Conclusions,
"I am a failure, so I will never succeed at anything.",Labeling,All-or-Nothing Thinking
"I stumbled; I am always clumsy, so I can't do anything physical.",Overgeneralization,All-or-Nothing Thinking
I stumbled on the stairs; everyone saw and I’m humiliated forever.,Magnification or Minimization,
"I fixed the sink, but I needed a manual, so I'm incompetent, and I'm useless.",Disqualifying the Positive,Labeling
I'm feeling really homesick after moving to this new city.,No Distortion,
"He loves me, but he doesn't know the real me, and everyone eventually leaves when they find out.",Disqualifying the Positive,Overgeneralization
"I feel anxious, so there is danger, and the world is always unsafe for me.",Emotional Reasoning,Overgeneralization
You're either my soulmate or a stranger.,All-or-Nothing Thinking,
"The movie was good, but the ending was weak, so I hated it.",Mental Filter,
"I didn't finish the list, so I'm lazy, and I'm burdening my coworkers.",All-or-Nothing Thinking,Personalization
People should be cleaner.,Should Statements,
It rained on the parade; I ruined it.,Personalization,
"I am a bad mother, and I must be more patient.",Labeling,Should Statements
"The painting has a smudge, so it's a piece of trash.",All-or-Nothing Thinking,
I am grieving the loss of my dog; the house feels so empty.,No Distortion,
I gained a pound; I'm a blimp.,Magnification or Minimization,
"I ought to be rich, because I feel like a failure with this salary.",Should Statements,Emotional Reasoning
"I feel ugly, so I am repulsive.",Emotional Reasoning,
The boss is quiet; he's going to fire me.,Jumping to Conclusions,
"I am an idiot, so I can't do anything, and I should be smarter.",Labeling,Should Statements
I am mourning the end of my relationship and it hurts a lot.,No Distortion,
"I am a burden, because I needed a ride, and I'm focused on the inconvenience.",Labeling,Mental Filter
Success is all or nothing.,All-or-Nothing Thinking,
Nobody in this office respects me.,Overgeneralization,
"The dinner burned; I ruin everything, and my family will go hungry.",Personalization,Jumping to Conclusions
The deal collapsed; I must have messed up.,Personalization,
I failed one driving test; I'll never get my license.,Overgeneralization,
I am grieving the loss of my grandmother and miss her terribly.,No Distortion,
I'll never be happy again.,Jumping to Conclusions,
"I feel rejected, so I'm an outcast, and I'm a loser.",Emotional Reasoning,Labeling
I'm stressed about finishing this report before the deadline.,No Distortion,
"I know I'll freeze on stage, and I should be more confident.",Jumping to Conclusions,Should Statements
"They clapped for my speech, but they were just pitying me.",Disqualifying the Positive,
"I look fit, but it's just the lighting.",Disqualifying the Positive,
I stumbled once on stage; the entire performance was garbage.,All-or-Nothing Thinking,
"I see a scratch, so the car is junk, because I feel so disappointed looking at it.",Mental Filter,Emotional Reasoning
I am a coward.,Labeling,
"I got a raise, but taxes took some, so it's nothing, because I still feel broke.",Mental Filter,Emotional Reasoning
The car broke down; I drove it wrong.,Personalization,
I missed one workout; I am a lazy slob.,All-or-Nothing Thinking,Labeling
I am a nag.,Labeling,
"I spilled water; the floor is ruined, and I'm a disaster.",Magnification or Minimization,Labeling
"I saved money, but not enough, so I'm broke, and I'm ignoring the balance.",Disqualifying the Positive,Mental Filter
"My performance was trash because I stuttered, and I'm a choke-artist.",All-or-Nothing Thinking,Labeling
"I am a toxic person, and my friends staying with me is just out of pity.",Labeling,Disqualifying the Positive
"My parents divorced because of me, and I'm filtering out their issues.",Personalization,Mental Filter
"The presentation wasn't perfect, so it was a total disaster.",All-or-Nothing Thinking,
"I am an idiot, because I forgot the keys, and that's all I am now.",Labeling,Mental Filter
The deal collapsed; I must have said something wrong.,Personalization,
"She said I'm smart, but she's just being nice, because I feel like an imposter.",Disqualifying the Positive,Emotional Reasoning
"I feel angry, so you are unfair, and this injustice is massive.",Emotional Reasoning,Magnification or Minimization
"She rejected me, so nobody wants me, and I'm going to die alone in misery.",Overgeneralization,Magnification or Minimization
My wife looks tired; I must be exhausting her.,Personalization,
"If I'm not the best, I'm the worst.",All-or-Nothing Thinking,
"I should have known, and my ignorance proves I'm incompetent.",Should Statements,Jumping to Conclusions
I have a scar; I'm deformed.,Magnification or Minimization,
I feel apprehensive about meeting my partner's parents for the first time.,No Distortion,
I ought to be married by now.,Should Statements,
"My poem was published, but it's a small magazine.",Disqualifying the Positive,
I am a drain on society.,Labeling,
"I missed one workout, so I'm a slob, and I'm setting a bad example for everyone.",All-or-Nothing Thinking,Personalization
"I lost my wallet, so I always lose everything, and I'm causing stress for everyone around me.",Overgeneralization,Personalization
I am a mess.,Labeling,
"It's win or lose, and I didn't win, so I lost everything.",All-or-Nothing Thinking,
"I am a slob, because I feel overwhelmed by the mess.",Labeling,Emotional Reasoning
"I feel rejected, so I'm an outcast, and I should fit in better.",Emotional Reasoning,Should Statements
"I see a scratch on my new car, so now it's an ugly junker.",Mental Filter,
I have a cough; it's lung cancer.,Jumping to Conclusions,
The dinner is cold; I failed as a host.,Personalization,
He looks bored; I'm uninteresting.,Personalization,
"My day was good, but I hit traffic, so it was a waste, and I'm a victim of circumstance.",Mental Filter,Labeling
"The dinner was tasty, but the service was slow, so I hated it, because I felt so impatient.",Mental Filter,Emotional Reasoning
It's aggravating when the internet cuts out during a movie.,No Distortion,
I should be more like my brother.,Should Statements,
"She said 'maybe', which means 'no'.",Jumping to Conclusions,
I am exhausted from working two jobs just to pay the rent.,No Distortion,
"I feel ugly, so I am hideous.",Emotional Reasoning,
I am a beast.,Labeling,
"My essay got an A, but the teacher is an easy grader.",Disqualifying the Positive,
"I won't get the loan, so why try, I'm just a financial mess.",Jumping to Conclusions,Labeling
I am a bad person.,Labeling,
I ought to be a CEO by now.,Should Statements,
"I got the job, but they were desperate, so I'm unhireable elsewhere.",Disqualifying the Positive,Labeling
"I know I'll freeze on stage, because I'm a coward, and everyone will laugh.",Jumping to Conclusions,Labeling
"I am weak, and I must be strong.",Labeling,Should Statements
I am a lazy slob.,Labeling,
Everyone is always smarter than me.,Overgeneralization,
"The boss wants to see me, so I'm getting fired, and I never keep a job for long.",Jumping to Conclusions,Overgeneralization
"He looks bored; I'm boring him, and I'm excruciatingly dull.",Personalization,Magnification or Minimization
My parents are sick because of my stress.,Personalization,
"I feel guilty, so I must be a criminal.",Emotional Reasoning,
I feel frustrated that my laptop battery died right in the middle of a meeting.,No Distortion,
"She said I'm smart, but she's just being nice, and I ought to actually be smart.",Disqualifying the Positive,Should Statements
"It rained today, so it always rains on my days off, and the sunny days don't matter because I was working.",Overgeneralization,Disqualifying the Positive
"I look good, but it's the makeup, and without it I'm horrifyingly ugly.",Disqualifying the Positive,Magnification or Minimization
"If I don't get the highest score, I'm a total failure.",All-or-Nothing Thinking,
Nothing ever goes according to plan for me.,Overgeneralization,
"I didn't finish the book, so reading it was a waste.",All-or-Nothing Thinking,
The manager called a meeting; layoffs are definitely coming.,Jumping to Conclusions,
"I feel anxious, so I am in danger.",Emotional Reasoning,
"I feel guilty, so I am a purely evil person.",Emotional Reasoning,All-or-Nothing Thinking
I am a pig.,Labeling,
The bus is late; I jinxed it.,Personalization,
"I should be perfect, and getting 99% doesn't count as success.",Should Statements,Disqualifying the Positive
"I passed the exam, but I missed the bonus question, so I did poorly.",Mental Filter,
"I have a pimple; I look like a monster, and my nice hair doesn't matter.",Magnification or Minimization,Disqualifying the Positive
"She said I look nice, but she has to say that because she's my mom.",Disqualifying the Positive,
"My husband is great, but he forgot to buy milk, so he's useless.",Mental Filter,
"I cooked dinner, but used a mix, so I'm a bad cook.",Disqualifying the Positive,Labeling
"The party was fun, but I felt awkward, so the night was ruined, because my anxiety spoiled it.",Mental Filter,Emotional Reasoning
"She rejected me; nobody will ever love me, so I'll die alone.",Overgeneralization,All-or-Nothing Thinking
I'm feeling really discouraged about my rehabilitation progress after the surgery.,No Distortion,
"I ought to be rich, and my debt is a mountain.",Should Statements,Magnification or Minimization
I am a loser.,Labeling,
He didn't hold the door; people are so rude these days.,Overgeneralization,
"He frowned, so he's angry, and I'm a bad partner.",Jumping to Conclusions,Labeling
"The team lost; I played badly, and I always let the team down.",Personalization,Overgeneralization
Waiting for the bus is agony.,Magnification or Minimization,
I always get sick on vacations.,Overgeneralization,
It's annoying when the subway is delayed and I'm late for work.,No Distortion,
"I feel guilty, so I am a criminal.",Emotional Reasoning,
"The project failed; I take full responsibility, and I'm incompetent.",Personalization,Labeling
"The vacation was great, but the hotel room was small, so it was awful.",Mental Filter,
"My art sold, but the buyer is my friend.",Disqualifying the Positive,
"I am an idiot, and I never understand simple things.",Labeling,Overgeneralization
The wait for this table is unbearable torture.,Magnification or Minimization,
"We had a nice walk, but it was humid, so the experience was miserable.",Mental Filter,All-or-Nothing Thinking
"We had a nice dinner, but the waiter was slow, so it was awful.",Mental Filter,
Nobody cares about my feelings.,Overgeneralization,
"I should not be sad, and my tears mean I'm a crybaby.",Should Statements,Labeling
"I got a ticket, so I'm always in trouble, and my clean record for 10 years was just luck.",Overgeneralization,Disqualifying the Positive
"This line is torture, and I'm a victim.",Magnification or Minimization,Labeling
"She rejected me, so nobody wants me, and I'm filtering out all my other friends who love me.",Overgeneralization,Mental Filter
"If the house isn't spotless, it's a pigsty, and visitors will think I'm disgusting.",All-or-Nothing Thinking,Jumping to Conclusions
"They hired him, so I never get picked, and I'm obsessing over the rejection letter.",Overgeneralization,Mental Filter
"I fixed the sink, but I needed help, so I'm useless, focusing on my dependency.",Disqualifying the Positive,Mental Filter
"He bought me flowers, but he probably just feels guilty about something.",Disqualifying the Positive,
It’s just a PhD; anyone could get one.,Magnification or Minimization,
I should not be angry.,Should Statements,
"She's crying; I hurt her, and I'm a monster.",Personalization,Labeling
"I won the lottery, but it was just luck, so I'm still a total loser.",Disqualifying the Positive,All-or-Nothing Thinking
I feel jealous that my coworker got the promotion I wanted.,No Distortion,
"I'm either a saint or a sinner, and since I yelled once, I'm evil, ignoring all my good deeds.",All-or-Nothing Thinking,Mental Filter
I lost a penny; I'm broke.,Magnification or Minimization,
I am grieving the loss of my grandfather.,No Distortion,
I am a clutter bug.,Labeling,
I am a loser.,Labeling,
"The feedback was good, but they noted a typo, so I failed, because I feel so criticized.",Mental Filter,Emotional Reasoning
I am wiped out after deep cleaning the entire house.,No Distortion,
I'm feeling really dispirited after failing the driving test for the second time.,No Distortion,
"He was rude, so everyone is mean, and people should be nicer.",Overgeneralization,Should Statements
"I burned the toast, so I ruin every meal, and the good dinner yesterday was just an accident.",Overgeneralization,Disqualifying the Positive
"I am a slob, and cleaning my room today doesn't count.",Labeling,Disqualifying the Positive
"I didn't finish the list, so today was a total waste, and I never accomplish anything.",All-or-Nothing Thinking,Overgeneralization
"I should be perfect, and since I'm not, everyone will reject me.",Should Statements,Jumping to Conclusions
"I should have known, and my ignorance caused this problem.",Should Statements,Personalization
"I should not be sad, but I am, and I'm always depressed.",Should Statements,Overgeneralization
"I made a typo; I'm unprofessional, and I'm an idiot.",Magnification or Minimization,Labeling
"I feel guilty, so I am bad, and God will punish me.",Emotional Reasoning,Jumping to Conclusions
I tripped; I'm the clumsiest person alive.,Magnification or Minimization,
"Unless I'm the best, I'm nothing.",All-or-Nothing Thinking,
My daughter didn't make the team; I didn't practice with her enough.,Personalization,
"I should be thinner, otherwise I am disgusting.",Should Statements,All-or-Nothing Thinking
"I made a mistake, so I am incompetent.",All-or-Nothing Thinking,Labeling
Everyone is always rude to me.,Overgeneralization,
"I burned the toast, so I ruin every meal, because I feel so incompetent in the kitchen.",Overgeneralization,Emotional Reasoning
I am a slob.,Labeling,
"I feel overwhelmed, so it's impossible, and the help offered doesn't count.",Emotional Reasoning,Disqualifying the Positive
"I ought to be rich, and since I'm not, I'm a loser, and I should work more.",Should Statements,Labeling
"I should be perfect, because I feel so worthless when I make mistakes.",Should Statements,Emotional Reasoning
"They didn't invite me, so they aren't my friends, and nobody ever includes me.",Jumping to Conclusions,Overgeneralization
"I must please everyone, and failing one person is a catastrophe.",Should Statements,Magnification or Minimization
"I feel guilty, so I must have sinned.",Emotional Reasoning,
My day was going well until I spilled coffee; now the whole day is ruined.,Mental Filter,
"I feel anxious, so there is danger, and something terrible is about to happen.",Emotional Reasoning,Jumping to Conclusions
Everyone is always judging me.,Overgeneralization,
I ought to be married by now.,Should Statements,
I feel hurt that she forgot my birthday.,No Distortion,
"I missed one day of running, so I'm a quitter, and now I'm going to get fat instantly.",All-or-Nothing Thinking,Magnification or Minimization
I am a fraud.,Labeling,
I must never cry.,Should Statements,
"I gained a pound; I'm obese, and I'll develop diabetes by next year.",Magnification or Minimization,Jumping to Conclusions
"I didn't win gold, so I'm a loser, and my career is over.",Magnification or Minimization,All-or-Nothing Thinking
My leg hurts; it's a blood clot.,Jumping to Conclusions,
I feel let down that the concert was postponed.,No Distortion,
"The book was good, but the font was small, so I hated it.",Mental Filter,
"I was late; I've destroyed my reputation, and I've insulted everyone waiting.",Magnification or Minimization,Personalization
I got a B; I'm barely passing.,Magnification or Minimization,
"I ought to be rich, but I have debt, so I'm focusing on the negative balance.",Should Statements,Mental Filter
"I won the raffle, but it was just luck.",Disqualifying the Positive,
"I made a typo; I'm unprofessional, and the client will cancel the contract.",Magnification or Minimization,Jumping to Conclusions
"If I'm not the valedictorian, then high school was a total waste of time.",All-or-Nothing Thinking,
I am grieving the loss of my old neighborhood; gentrification has changed it so much.,No Distortion,
I feel lonely when my partner travels for work.,No Distortion,
"I feel rejected, so I am an outcast, and I never fit in anywhere.",Emotional Reasoning,Overgeneralization
I feel let down that my team didn't win the championship.,No Distortion,
"My husband is sweet, but he snores, so I can't stand him.",Mental Filter,
"The feedback was good, but they noted a typo, so I failed, and I must be perfect.",Mental Filter,Should Statements
He looks bored; I'm boring him.,Personalization,
"If I'm not the best, I'm the worst, and I ought to be perfect.",All-or-Nothing Thinking,Should Statements
"I failed the quiz, so I'll never learn, and passing the homework was just a fluke.",Overgeneralization,Disqualifying the Positive
"The meal was a disaster because of the salt, even though everyone else said it was delicious.",All-or-Nothing Thinking,Disqualifying the Positive
"I am a fraud, and I should be authentic.",Labeling,Should Statements
I feel stung by the harsh feedback on my report.,No Distortion,
The bus is late; I jinxed it.,Personalization,
"I tripped; everyone hates me, and them helping me up was just pity.",Magnification or Minimization,Disqualifying the Positive
The world should be fair.,Should Statements,
"I saved money, but not enough, so it's pointless, and I'll always be poor.",Disqualifying the Positive,Overgeneralization
"I feel jealous of my sister's new house, even though I'm happy for her.",No Distortion,
"The trip was fun, but the bed was hard, so it was miserable.",Mental Filter,
"He helped me, but he probably felt obligated.",Disqualifying the Positive,
"If she doesn't text back, she hates me.",All-or-Nothing Thinking,Jumping to Conclusions
"The dinner was a disaster because the rice was dry, and I'm a terrible cook.",All-or-Nothing Thinking,Labeling
"My day was good, but I hit traffic, so it was a waste, and there shouldn't be traffic.",Mental Filter,Should Statements
"My wife is amazing, but she leaves socks on the floor, so she's messy.",Mental Filter,
I should have known he was lying.,Should Statements,
I have a headache; it must be a brain tumor.,Jumping to Conclusions,
I should always be happy.,Should Statements,
"If I'm not the best player on the team, I'm the worst.",All-or-Nothing Thinking,
This wait is torture; I can't handle anything.,Magnification or Minimization,All-or-Nothing Thinking
"Unless everyone agrees with my plan, it's a worthless idea.",All-or-Nothing Thinking,
"I am a burden, and them saying they love helping me is a lie.",Labeling,Disqualifying the Positive
"I missed one class, so I'm a dropout, and my anxiety proves I can't handle school.",All-or-Nothing Thinking,Emotional Reasoning
"They smiled, but they were just being polite.",Disqualifying the Positive,
I feel awkward in this new suit; it doesn't fit quite right.,No Distortion,
"She said 'fine', which means 'no'.",Jumping to Conclusions,
"It rained on my wedding; I jinxed it, and I always ruin special occasions.",Personalization,Overgeneralization
"I must please everyone, or I'm worthless, and I always fail to make people happy.",Should Statements,Overgeneralization
"I see a chip in the mug, so the set is ruined.",Mental Filter,
"I didn't finish the list, so today was a waste, and I'll never catch up on my work.",All-or-Nothing Thinking,Jumping to Conclusions
I feel wounded by her careless comment.,No Distortion,
I'm on edge about the medical test results due tomorrow.,No Distortion,
"He looks bored; I'm boring him, because I feel so uninteresting.",Personalization,Emotional Reasoning
"I fixed the sink, but I needed a manual, so I'm incompetent.",Disqualifying the Positive,Labeling
"I won the prize, but it was just luck.",Disqualifying the Positive,
I regret eating that second slice of cake; I feel a bit sick now.,No Distortion,
"I feel ugly, so I must look disgusting.",Emotional Reasoning,
"I won the raffle, but it was just a fluke.",Disqualifying the Positive,
I feel sorrowful whenever I hear that song; it reminds me of my late aunt.,No Distortion,
The store is closed; I caused this so I can't do anything right.,Personalization,All-or-Nothing Thinking
My day was perfect until I tripped; now it's a disaster.,Mental Filter,
I should be thinner.,Should Statements,
"I didn't win gold, so I'm a loser, and I'm a disgrace.",Magnification or Minimization,Labeling
"I feel anxious, so I'm not safe.",Emotional Reasoning,
